"Qty","Value","Device","Package","Parts","Description"
"2","1uF","C-EUC0402","C0402","C1, C2","CAPACITOR, European symbol"
"2","0.1uF","C-EUC0402","C0402","C3, C4","CAPACITOR, European symbol"
"2","ATA8041AW","7-SEGMENT-4DIGIT-20MM-WHITE","7-SEGMENT-4DIGIT-20MM","DISP1, DISP2","4 Digit 7 Segment Display"
"1","","PINHD-2X5","2X05","JP1","PIN HEADER"
"2","10k","R-US_R0402","R0402","R1, R2","RESISTOR, American symbol"
"1","4.7k","R-US_R0402","R0402","R3","RESISTOR, American symbol"
"1","28k","R-US_R0402","R0402","R4","RESISTOR, American symbol"
"2","COM-08229 SF","SWITCH-MOMENTARY-2SMD-1101NE","TACTILE-SWITCH-1101NE","S1, S2","Various NO switches- pushbuttons, reed, etc"
"1","TXS0104ED","TXS0104ED","SOIC127P600X175-14N","U1","4-BIT BIDIRECTIONAL VOLTAGE-LEVEL TRANSLATOR  FOR OPEN-DRAIN AND PUSH-PULL APPLICATIONS"
"1","MAX7221CWG+","MAX7221CWG+","SOIC127P1032X265-24N","U2","Serially Interfaced, 8-Digit LED Display Drivers"
